Premium_Term,Gender,Income,Occupation,Marital_Status,Location,Children,Benefit_Term
5,Male,<3L,Farmer,Single,Urban,Yes,15
5,Male,<3L,Farmer,Single,Urban,No,15
5,Male,<3L,Farmer,Single,Semi-urban,Yes,15
5,Male,<3L,Farmer,Single,Semi-urban,No,15
5,Male,<3L,Farmer,Single,Rural,Yes,15
5,Male,<3L,Farmer,Single,Rural,No,15
5,Male,<3L,Farmer,Married,Urban,Yes,15
5,Male,<3L,Farmer,Married,Urban,No,15
5,Male,<3L,Farmer,Married,Semi-urban,Yes,15
5,Male,<3L,Farmer,Married,Semi-urban,No,15
5,Male,<3L,Farmer,Married,Rural,Yes,10
5,Male,<3L,Farmer,Married,Rural,No,10
5,Male,<3L,Farmer,Widowed,Urban,Yes,10
5,Male,<3L,Farmer,Widowed,Urban,No,10
5,Male,<3L,Farmer,Widowed,Semi-urban,Yes,15
5,Male,<3L,Farmer,Widowed,Semi-urban,No,10
5,Male,<3L,Farmer,Widowed,Rural,Yes,15
5,Male,<3L,Farmer,Widowed,Rural,No,15
5,Male,<3L,Clerk,Single,Urban,Yes,15
5,Male,<3L,Clerk,Single,Urban,No,10
5,Male,<3L,Clerk,Single,Semi-urban,Yes,15
5,Male,<3L,Clerk,Single,Semi-urban,No,15
5,Male,<3L,Clerk,Single,Rural,Yes,15
5,Male,<3L,Clerk,Single,Rural,No,15
5,Male,<3L,Clerk,Married,Urban,Yes,15
5,Male,<3L,Clerk,Married,Urban,No,10
5,Male,<3L,Clerk,Married,Semi-urban,Yes,15
5,Male,<3L,Clerk,Married,Semi-urban,No,15
5,Male,<3L,Clerk,Married,Rural,Yes,15
5,Male,<3L,Clerk,Married,Rural,No,15
5,Male,<3L,Clerk,Widowed,Urban,Yes,10
5,Male,<3L,Clerk,Widowed,Urban,No,10
5,Male,<3L,Clerk,Widowed,Semi-urban,Yes,15
5,Male,<3L,Clerk,Widowed,Semi-urban,No,10
5,Male,<3L,Clerk,Widowed,Rural,Yes,15
5,Male,<3L,Clerk,Widowed,Rural,No,15
5,Male,<3L,Business Owner,Single,Urban,Yes,10
5,Male,<3L,Business Owner,Single,Urban,No,15
5,Male,<3L,Business Owner,Single,Semi-urban,Yes,15
5,Male,<3L,Business Owner,Single,Semi-urban,No,10
5,Male,<3L,Business Owner,Single,Rural,Yes,15
5,Male,<3L,Business Owner,Single,Rural,No,15
5,Male,<3L,Business Owner,Married,Urban,Yes,15
5,Male,<3L,Business Owner,Married,Urban,No,15
5,Male,<3L,Business Owner,Married,Semi-urban,Yes,15
5,Male,<3L,Business Owner,Married,Semi-urban,No,15
5,Male,<3L,Business Owner,Married,Rural,Yes,10
5,Male,<3L,Business Owner,Married,Rural,No,15
5,Male,<3L,Business Owner,Widowed,Urban,Yes,10
5,Male,<3L,Business Owner,Widowed,Urban,No,15
5,Male,<3L,Business Owner,Widowed,Semi-urban,Yes,15
5,Male,<3L,Business Owner,Widowed,Semi-urban,No,15
5,Male,<3L,Business Owner,Widowed,Rural,Yes,15
